Cycle_ID,ph,Solids,Turbidity,Temperature,Potability,RUL
1,6.283103588064353,26188.162173561268,2.663920733696861,25.203670163114523,1,13
1,8.628893415492303,13688.074338907056,3.071350370794229,31.454580513376055,1,12
1,9.49424264803844,21879.70420789106,3.189025539707877,27.331870377282737,1,11
1,7.695049437156064,11598.682367072945,3.198879005391032,29.854219504010043,1,10
1,6.450805742930156,19002.3146637915,3.2755811820087386,24.65492319048985,1,9
1,5.89241318577243,11006.048507195754,3.3118131930849275,30.192966039096873,1,8
1,5.767349596865663,15417.932834388865,3.896090487367949,30.278019678683126,1,7
1,6.658833571629886,16828.88059669601,3.969740440383512,31.310255692851737,1,6
1,9.10733038346176,24678.329289092,4.49213994862107,25.84456548264266,1,5
1,6.272474990901286,14642.205540005174,4.612535780383918,26.314127158538266,1,4
1,9.33823501843064,17416.80177954899,1.872572600841316,29.615784622696957,0,3
1,7.95776834399615,17162.398420975343,3.4507458924446017,30.923939838481985,0,2
1,7.528980405257183,8129.734919236011,3.644409765433974,25.703106520170156,0,1
1,7.025305941689352,23502.857795232936,5.989542790855565,25.12204387951591,0,0
2,6.758656470581755,20666.453159471203,2.743890221761156,25.77064282236096,1,13
2,9.79455869937693,20682.73174245486,2.9454187377034105,28.59704877478341,1,12
2,7.301444654287731,46718.55596534806,3.1600748401136087,25.25416052470016,1,11
2,11.301793996392291,39227.61945662096,3.309580397460676,27.744306853545282,1,10
2,7.860106421505122,34591.67814811829,3.499774683747187,25.26573866175059,1,9
2,5.07827417522148,18125.638398024403,3.631042313530789,29.522846980750547,1,8
2,5.420347746957928,25107.20862979831,3.75672017038554,26.981694091787933,1,7
2,6.129069622155112,22207.482865469778,3.837639089504538,27.06375194396297,1,6
2,7.757269665668284,25259.780548961884,4.165432285611471,30.366885028608333,1,5
2,7.347030355621346,19073.25959456154,4.297880700154986,27.35764046472832,1,4
2,8.238878989445276,11451.312217210629,2.784712796717906,27.88634582061755,0,3
2,4.319440672587684,30565.57839108449,3.2419721011866467,27.185924949440395,0,2
2,6.732713713421406,33820.64575966661,3.885405037306561,30.72799937538541,0,1
2,6.574083863949985,22723.80995899501,4.977323507740182,30.146132736440016,0,0
