Cycle_ID,Hari,ph,tds,turbidity,temperature,RUL,turbidity_MA_3,tds_MA_3,ph_MA_3,turbidity_Diff,tds_Diff,ph_Diff,turbidity_Std_3,tds_Std_3,ph_Std_3
1,1,0.4349661602123778,0.18088018434562858,0.33491379265586385,0.44581554781766464,97,0.3195393907893356,0.19289515898597953,0.3713764647317763,0.49521673267771116,0.474146534707779,0.5184427503935758,0.0,0.0,0.0
1,2,0.6620204054857837,0.16098499139612243,0.225932206145808,0.33368577715821557,96,0.2546497067197282,0.1822867929536931,0.49768008790510265,0.38097528551112,0.4378038278541481,0.6867907084014364,0.28554295010425235,0.0899501421338074,0.09804279165758412
1,3,0.5467503702463361,0.13110620100760417,0.30600129484189575,0.9385602398969253,95,0.2648029051535834,0.16812950746731747,0.49703373376673277,0.5791502563019723,0.41956671118020916,0.4329764996802806,0.20919283381710893,0.16018941638571887,0.06932944611100617
1,4,0.4815979426326553,0.24468830994657365,0.42152304231647686,0.007027072883414753,94,0.2991820880838081,0.1908117019024893,0.5143269964923238,0.616313993539223,0.681627874519996,0.47013588815098284,0.3643485230800473,0.37646405726850146,0.05579254262886188
1,5,0.5032323945230104,0.1678682775701198,0.2608759304515098,0.9737648170019471,93,0.3130528547152778,0.19325853816168204,0.45544091818408106,0.32681618786738476,0.3338187719044947,0.5344834801935191,0.307007275268979,0.3705698387591461,0.020263655430084
1,6,0.486852287887519,0.18296100914625002,0.2913101788393917,0.6183774669522748,92,0.30722127706648816,0.21169162688701304,0.4332278861868346,0.5271198521917431,0.5017165472572399,0.5062978222037697,0.3161872667727948,0.2602390394560424,0.006890683482989888
1,7,0.5177352656487013,0.19981659699113152,0.3947224518110779,0.6803021048405737,91,0.29658289366940727,0.195740854029967,0.446629308750607,0.6036200703184411,0.5049367707937958,0.5413407421797973,0.2599727865359809,0.10218966751276345,0.009435338650110965
1,8,0.48864016491932993,0.1955434929472738,0.3054684562513741,0.9422094697583558,90,0.3142837120900921,0.205578701644324,0.44121782226668316,0.40165500408973326,0.46634082163854046,0.49687036891299824,0.20774859615840657,0.05602696111379055,0.010587198235356097
1,9,0.26147926280149036,0.2656025326901389,0.3708335409415766,0.6099876942329434,89,0.34585018130268463,0.23495569850463505,0.35763888250092535,0.5637365818403632,0.6021239386105144,0.3500157123317556,0.17120822584875253,0.25111073309853243,0.08567996914101299
1,10,0.37108903244081226,0.2066844594812579,0.34136659096634925,0.39104065282273837,88,0.3246707933323636,0.2373970520295654,0.30325554763873797,0.4643275970305172,0.36652042278991204,0.599712232381337,0.12129662147912616,0.24071202730073074,0.06937341489769923
1,11,0.568402724646548,0.1989634684891236,0.20631799288758845,0.5676892408764909,87,0.28531342756649547,0.23861276788821484,0.33283526407755737,0.35365018206676546,0.4600425391869098,0.6647397602989784,0.3250469140505906,0.23306069263251925,0.09498006190951112
1,12,0.4598313195628272,0.1406552250137464,0.23482268636794834,0.9266657995708405,86,0.23132448218010726,0.19419712175888937,0.40639355526232634,0.525097169717742,0.36763440360385014,0.43794315734752004,0.2637609608012489,0.23082226417082838,0.06034732912930951
1,13,0.3944454753280251,0.2976117520266598,0.38051173932313365,0.9611806907832898,85,0.24686298668698403,0.2265195024832023,0.4150552250982269,0.6479372864787408,0.7608602682448982,0.46996282284897284,0.3462148868396117,0.5072797341831153,0.0536573599088514
1,14,0.8159877888014453,0.2730305430038976,0.37316591781803665,0.5396796393559908,84,0.31309257942897983,0.25284849694223355,0.5068714358270991,0.4875163742387896,0.4292438451038444,0.8309926769615936,0.3041204991758442,0.5397916959634556,0.13854108652668795
1,15,0.556514581057364,0.26304222630588037,0.20596703470863886,0.2962487923764927,83,0.3016384480186096,0.2963540181200044,0.5427261459714252,0.319948203536847,0.45590079732596195,0.32605795428960405,0.3658001249905651,0.11375271625743609,0.12985026437875305
1,16,0.5874857913058111,0.18304584643026256,0.2199057168048193,0.2934633215590581,82,0.2378865525860845,0.2556287010556757,0.6143145933258118,0.5098281479200077,0.3280165127195568,0.5414061616087228,0.3437512266828111,0.3153671391664572,0.08653994992036741
1,17,0.6123540327481081,0.30382657290561277,0.3844216787552288,0.6510701243013921,81,0.24235448027042472,0.2665759202614333,0.5387975991116178,0.6676728528084681,0.6947776463035658,0.5368811533444481,0.3677671356720392,0.3928570338578143,0.017083431412343062
1,18,0.5229707710313978,0.24106161973521123,0.3238667635638808,0.37079728122502287,80,0.28915428931647313,0.25876236380066264,0.5263579733995165,0.4317392098590147,0.3594932966344896,0.45217008690749527,0.30831346817190824,0.3862319714687714,0.02817218971582384
1,19,0.645938375120517,0.34300496111562817,0.21236427319623785,0.5612320147496979,79,0.2861607445115779,0.3156238325681706,0.5480349464087642,0.37833271336585184,0.6603672454528867,0.609616315655899,0.32339418005175274,0.32880480810773405,0.03881294149637455
1,20,0.5781695555688202,0.3099205315970396,0.3323250291977293,0.8489168550250401,78,0.2654811952462579,0.3177900826282851,0.5353577311209055,0.6209672452887954,0.41371094474062964,0.4681959806210325,0.24808065668562662,0.3325318528341158,0.03761116577751598
1,21,0.3924319172789925,0.33749173852283565,0.29367136597208576,0.43931897069991166,77,0.2534952572370146,0.3520685805961863,0.4869477717182722,0.4546974984969889,0.524511077210488,0.38072873366755866,0.2268850201651034,0.1133354126206795,0.08014834107777093
