Cycle_ID,ph,Solids,Turbidity,Temperature,Potability,RUL,Turbidity_MA_3,Solids_MA_3,ph_MA_3,Turbidity_Diff,Solids_Diff,ph_Diff,Turbidity_Std_3,Solids_Std_3
1,0.5498264945857835,0.31374284169255656,0.13971533166263245,0.6423150547484373,1,89,0.1526573664790818,0.3234755520000656,0.5407774273736755,0.7259152956854282,0.5161679884951134,0.4991100427857222,0.0,0.0
1,0.4243691933826916,0.2679768556492844,0.1981866006003079,0.6900954229369858,1,88,0.1846011403816814,0.2960155212207819,0.42503267554638846,0.7721988710583023,0.48766804603894864,0.4079327234786287,0.08053242384582428,0.06718174567152767
1,0.7277205871858952,0.41684489557024434,0.2153427994691205,0.797388232510476,1,87,0.2014975325413313,0.34641034591750297,0.5730289495976512,0.7394954734014803,0.6088728756420405,0.7195736318300313,0.07723008591045302,0.15829784113304518
1,0.5222331470542794,0.6498951480001693,0.23442870721679132,0.9415599338494669,1,86,0.2359931370689604,0.4808734188352587,0.5560575171847068,0.7410229556669591,0.6612958303243601,0.3497700381561961,0.03531277086396735,0.3996247982002678
1,0.4971093207237982,0.41094465552424525,0.2569732877182468,0.7291480496222822,1,85,0.2574038649460416,0.5380614533623405,0.6007967121471555,0.7437607060869222,0.3673658785832442,0.4808510565522945,0.04059044306452949,0.28292888717678255
1,0.8395580761961047,0.7676644048346954,0.28740311248616424,0.3065497352751976,1,84,0.28364898656090476,0.6783915012901682,0.6695829434590012,0.7500023578241082,0.7383087792280568,0.7479880213855502,0.051781804425676266,0.37732631512106074
1,0.6341980214252908,0.3066636969478664,0.3092052363823161,0.5138557347424317,1,83,0.3108833825788958,0.5410967251886495,0.7384475238018507,0.7431730064033514,0.22908811143088365,0.34986261671165286,0.051099362434812966,0.5018590403178875
1,0.6341980214252908,0.3066636969478664,0.3092052363823161,0.5138557347424317,1,82,0.329906805979035,0.49938367466399347,0.8227646446541655,0.7259152956854282,0.5161679884951134,0.4991100427857222,0.024517795899564213,0.552540890674489
1,0.4222835312480942,0.5456829408400492,0.3199213085062802,0.06694265214702444,1,81,0.3417502739506779,0.4105896690319508,0.5661177579673699,0.734397720316563,0.6650129121115819,0.3450991167463694,0.012050865797837183,0.28648091781444873
1,0.4222835312480942,0.5456829408400492,0.3199213085062802,0.06694265214702444,1,80,0.3456531797854133,0.5061988956151259,0.4357786447713484,0.7259152956854282,0.5161679884951134,0.4991100427857222,0.012050865797837056,0.286480917814449
1,0.4719522424839376,0.45383452218100523,0.32937927925434085,0.3383035403366699,1,79,0.3530007777415105,0.5650681671725872,0.33598853164915843,0.7334018563492458,0.458971042186616,0.5352072639158919,0.010636055346236146,0.11008661415194619
1,0.5899098493839258,0.4712930057783236,0.3361636079911584,0.8140292322667997,1,78,0.3589163935283144,0.5353117172691961,0.4390879734847287,0.7312855056389619,0.5270399443058112,0.5848368859896136,0.015889611019776713,0.10125879255974518
